"name","numberOfGuests","roomType","stars"
"The Farmhouse -Tea Plantation Holiday Home","10","Farm stay",
"Sulanga - 2 BR Luxury Chalet","6","Entire home","4.67"
"VAUX Park Street 4 Bed Penthouse 9PH","8","Entire serviced apartment","5"
"The Jungle Villa: Infinity Pool + Yoga Shala + Gym","14","Entire villa","4.62"
"Beautiful 4BR Villa wt Pool~Garden~Cook~River View","12","Entire villa","5"
"Astig Villa Negombo","10","Room in boutique hotel","5"
"Spacious & Staffed 3 BR on The Beach - Saldana","6","Entire cottage","4.89"
"Villa Nilaya","6","Entire villa","5"
"GOOD STORY VILLA","6","Entire villa","4.89"
"Blue Peacock Beach House","6","Entire bungalow","4.85"
"Luxury 5BR Colonial Villa wt Pool~Big Garden~Cook","8","Entire villa","4.92"
"Wetakeiya House, Ocean Front Villa, Hiriketyia.","6","Entire villa","4.93"
"OASIA Surf House [adults only]","12","Entire villa",
"Terra villa sunrise","6","Entire home",
"Family Villa in Hiriketiya Beach","6","Entire home","5"
"Villa Vanna - Your relaxed getaway","9","Entire villa","5"
"Hanuman Hill House, Rumassala, Galle.","6","Entire villa","4.87"
"Garden Villa Ronnaduwa - Entire Villa with Pool","8","Entire villa","5"
"Amandhira","6","Entire villa","4.67"
"Luxury private beach villa in unawatuna with pool","6","Entire villa","4.8"
"Indie Beachouse -step on to the Beach","6","Entire villa","4.92"
"Madiha Garden: luxury villa & pool next to beach","8","Entire villa","4.91"
"Cottage by the Lake (5 mins from the beach)","6","Entire villa","5"
"Terrene Villa: your playful oasis by the beach","6","Entire home","5"
"Ambalama Pavillion","2","Private room in guest suite","5"
"Villa Sisila on Talduwa Island","8","Entire villa","4.67"
"Guava House near Pinnawala Elephant Orphanage","9","Entire villa","4.85"
"Designer villa with private pool in Ahangama","6","Entire villa","5"
"Kikili Kola: Paddy villa with pool & solar power","6","Entire villa","4.89"
"The Hiru House, superb private large Villa","14","Entire villa","4.8"
"Terra villa Sunset","6","Entire home",
"Breathtaking ocean view Stylish Beach House NEW","7","Entire villa","4.73"
"STUNNING BEACHFRONT 5BD VILLA","10","Entire villa","4.8"
"Ingels Beach Villa - Absolutely Beachfront","16","Entire villa","4.84"
"3 Room Villa with a Beautiful View & Swimming Pool","8","Entire villa","4.93"
"Kohomba Villa - Madiha Hill","4","Entire home","4.94"
"Shaka House","6","Entire villa","4.96"
"Luxury 3-BR Beach Front Villa with Staff","7","Entire villa","4.93"
"Lace House - stylish beach villa with surf access","6","Entire home","5"
"Muhudu Niwasa SriLanka Beach House","8","Entire villa","4.82"
"Sam & Lola's - Hiriketiya - Villa Lola","2","Room in boutique hotel","4.98"
"Salt Villa - Beachfront Private Pool - Luxury 3BR","7","Entire villa","4.81"
"Master suite in boutique hotel","2","Room in boutique hotel","5"
"Wild Ele 243
Wilpattu","8","Entire villa",
"The White Villa Chilaw Beach","8","Entire villa",
"Premium Private Villa with Pool","6","Entire villa","5"
"Punchi Doowa, private island villa near Mirissa","2","Entire villa","4.98"
"Ella Treehouse Pearl","2","Treehouse","4.8"
"Luxury Room by the Beach with Plunge Pool","2","Room in boutique hotel",
"Luxury villa with pool and jacuzzi area","5","Entire villa","5"
"Paddy-View Villa in Tranquil Setting Near Unawatuna","4","Entire villa","4.94"
"Luxurious one bed apartment in Havelock City","2","Entire rental unit","4.93"
"Casa Wilderness Yala - Private 2BR Safari Lodge","6","Entire villa","4.84"
"Flowground | Courtyard Room","2","Private room in home","5"
"SR Spacious Suite + private plunge pool","2","Entire villa","4.97"
"The Kip B&B |  The studio","2","Room in bed and breakfast","4.97"
"Abode By The Beach - Rock Suite","2","Room in hotel","4.75"
"Unakanda White House","4","Entire home","4.9"
"Lemon Villa - 2 bedroom - Madiha","4","Entire home","5"
"Kikili Beach House","2","Entire villa","4.83"
"Fernando's Haus","5","Entire vacation home","5"
"Beachfront Villa in Wadduwa","15","Private room in villa","4.56"
"Deluxe Double Room with attached bathroom","2","Room in boutique hotel","4.91"
"Nalu Mirissa Superior Suite mit Balkon 44","2","Room in hotel","5"
"Oasis in the city-pool-prime location-Unit C","4","Entire rental unit","4.96"
"Claire Villa - Master King Suite & Luxury Bath 202","3","Private room in villa","4.96"
"La Casa del Sol","2","Cycladic home","5"
"Quiet and good location","2","Entire vacation home","5"
"Loft Ahangama room 6","2","Room in hotel","4.89"
"Helios Boutique Villa - Private Luxury in Ahangama","4","Entire villa","4.88"
"Luxury Suite Ahangama Sri Lanka","2","Room in hotel","5"
"Cozy Central Apartment in the Heart of the City","4","Entire rental unit","4.95"
"Loft Ahangama suite 2","2","Room in hotel",
"TS2W See More Beach Tree house","2","Tiny home","4.94"
"Scenic Sanctuary: Tiny room, Riverside allure","2","Private room in bed and breakfast","4.8"
"Amba Villa - Madiha Hill - NEW","6","Entire home","5"
"Arabella on Boossa king room with Garden View","2","Room in boutique hotel","4.93"
"Luxury Suite Ahangama Sri Lanka","2","Room in hotel","5"
"New Hotel Kabalana","2","Room in hotel",
"Lux Amenities Homely Haven: Central Convenient","4","Entire condo","5"
"Coliveme Ahangama Room N1_ Comfort _ King + Double","3","Room in boutique hotel","4.9"
"Araliya Residence","4","Entire rental unit","4.83"
"Villa Mankani","2","Private room in shipping container",
"Superior Ocean View Room With Balcony 3","3","Room in hotel","4.67"
"Thalpe Bungalows - Bungalow 1","3","Entire bungalow","4.96"
"Villa 252-The Fishermen's Suite - Dutch Bay Trinco","2","Entire home","4.94"
"Gardenviewroom at Amuura Beach #1 incl. Breakfast","2","Room in boutique hotel","4.74"
"Spacious 2BR Central Colombo 26/3 First Floor","5","Entire serviced apartment","4.88"
"Negombo Ocean Breeze Luxury Studio
(Sea View)","2","Entire rental unit","5"
"Galkadawala Forest Lodge, Habarana. (d)","3","Private room in treehouse","4.89"
"Srilax - Family Room","4","Entire guest suite","4.88"
"Luxury Bungalow, Haputale","6","Entire villa",
"Luna Tower Luxury Apartment","4","Entire condo","4.89"
"STUTHI VILLA - Suite PRITHVI - Nature & Luxury","2","Private room in villa",
"Oxy Breeze Ella- Stay with nature Room 2","2","Private room in nature lodge","4.75"
"Panoramic  Room with Stunning Views & Rooftop Pool","2","Room in boutique hotel","4.79"
"Balumgala Estate Bungalow Kandy","6","Entire home","5"
"Room with tranquillity by the rice field","2","Room in boutique hotel",
"One Bed room Romantic Beach front Chalet","2","Room in boutique hotel","4.67"
"Beautiful Golf Villa | 6 BR | 15 Pax |Clam & Quiet","15","Entire home",
"Beautiful 2 bedroom condo with pool - Battaramulla","3","Entire condo","4.96"
"Area 4 | Studio cube 02","2","Private room in nature lodge","4.8"
"Cinnamon Gardens Surf House & Coliveme Coworking","4","Entire home","5"
"Deluxe Double/Twin Room with Balcony & Garden View","2","Room in boutique hotel","5"
"NO.51, Menik Home Rest  Room 1","1","Private room in bed and breakfast",
"Boutique Villa: perfect place to explore Sri Lanka","6","Entire villa","4.86"
"Unrushed Midigama- Single bedroom","1","Private room in home",
"3 Bedroom Brand New Luxury Apartment","6","Entire rental unit","5"
"Rose villa part of Blackpool","2","Entire condo",
"Eco home double room 2","2","Private room in villa","4.86"
"ESTA - Sea View Luxury Apartment","4","Entire rental unit",
"Oceanfront Galle Apartment L4-10","2","Entire condo","4.5"
"Moksha  eco villa  Ella","4","Farm stay","4.82"
"Master-Suite at Old Clove House","2","Private room in villa","5"
"Ceylan Lodge Anuradhapura - Family Room - 4 adults","4","Room in hotel",
"Beach Front Apartment in Colombo, Uswetakeiyawa","4","Entire rental unit","5"
"Luxury 4 Bedroom Home with Undercover Parking.","8","Entire home","5"
"Area 4 | Spirit cube 01","4","Private room in nature lodge","4.76"
"Nomentano","6","Entire rental unit",
"DELUXE DOUBLE ROOM by Kandy Victoria Eco Resort","2","Room in boutique hotel","4.13"
"Niwahas Kottawa Studio Apartment","3","Entire rental unit","5"
"Villa DC Thalpe","8","Entire home","5"
"Le Corbusier in Lake Villa by CarlSen","2","Entire villa","5"
"Villa 1972 - Family Room with Mountain View","5","Private room in cabin",
"Morena Boutique Hotel. Room Indira","2","Room in boutique hotel","4.6"
"Aqua Dunhinda Villa","9","Entire villa","4.8"
"Once in Ella","4","Entire guesthouse","4.46"
"Holland suite Villa kusum","2","Private room in guesthouse",
"Honeyland - Cabana in the jungle","2","Private room in chalet","4.83"
"Appartement luxe neuf","4","Entire rental unit",
"DLX Room with Forest & Lakeview","2","Room in boutique hotel",
"Nilaveli Baybeach hotel  Heaven in trincomalee.","2","Private room in guest suite",
"EastSurfCabanas - THE GARDEN ROOM - sleeps 2 to 4","4","Private room in bed and breakfast","4.83"
"Superior double room A/C sea view","2","Room in hotel",
"Machan Villa","6","Entire villa","5"
"Beach Cab Resort","2","Private room in home","4.73"
"Coliveme Ahangama Room N5 Standard","2","Room in boutique hotel",
"Wild Resort Ella - Chalet One with pool","2","Entire chalet","4.7"
"Adorable 1- bedroom place with free parking","2","Private room in guest suite",
"Cabin 7000 feet Nuwara eliya 2BR","4","Entire cabin",
"Beachside Studio Retreat","2","Entire rental unit","4.9"
"Thalpe Serenity Shore","6","Entire villa",
"The Cabana","2","Entire cabin","5"
"Villa Dominikku (Sleep Orange)","2","Private room in villa","4.94"
"Stunning 2BR apartment with pool & 24hr security","4","Entire rental unit","5"
"Deluxe Double Room","2","Room in boutique hotel",
"most close place to city","2","Private room in bed and breakfast","4.91"
"Lovely villa in modern style close to the beach","6","Entire home","4.95"
"Aminva BoutiqueVilla~ Full Property 25% Discount","6","Entire villa","4.68"
"CASA MARIA MIRISSA, Brenda's room N°6 for 5","5","Room in boutique hotel","5"
"Welcome to Serenity & Tranquility","2","Room in boutique hotel","4.76"
"For those who love Nature.","2","Room in hotel","4.57"
"Sigiriya The otunna guest house chalet family room","5","Private room in rental unit","5"
"Nilaveli Cozy Apartment","4","Entire condo","5"
"Yala Dream Night Under the Stars","3","Private room in tent","4.68"
"O2 Villas - Weligama Family Room with Balcony","4","Entire villa",
"3 Bed Room villa Dankatiya","6","Entire home",
"Nature Villa","4","Entire home",
"emma surf point room 05","2","Private room in guesthouse","4.63"
"Venus Villa - Double Room","2","Entire guesthouse","4.67"
"Kabalana Surf Lodge - Double room","2","Room in hotel",
"Boer & Brit Villa. 4 B/R Villa with Swimming pool","8","Entire guesthouse",
"Yachtman's house- Matara Fort","5","Entire bungalow","5"
"Palm villa Mirissa, Big familly room for6 sea view","6","Room in boutique hotel","5"
"FIVE BED ROOM DELUXE VILLA WITH PRIVATE POOL.","10","Entire villa","5"
"BarefootBungalowHikka 2Deluxe RoomsPrivateBalcony","4","Private room in home",
"Nature experience in your bungalow with priv. pool","2","Entire guesthouse",
"Dulmini homstay","2","Private room in bed and breakfast","5"
"Beach Paradise Nilaveli","4","Entire condo","4.57"
"Glance Beach Ahangama, Rm 3, kitchen, Rooftop ter,","2","Private room in guesthouse","4.25"
"Hill Top House","4","Entire cottage","4.71"
"Dutch Wall - Luxury Boutique Villa","6","Entire villa","4.86"
"Peak View Cottage","7","Entire cottage","4.56"
"FAIR HOUSE - Entire  two bedroom house in GALLE !","6","Entire home","4.97"
"Golden Heights Talpe ~ Three Bedroom Villa","5","Entire villa","4.71"
"Art House Mirissa","6","Entire home",
"Double room with balcony","2","Room in hotel",
"villa B","4","Entire home",
"Royal Residency","4","Entire rental unit",
"Nature Villa yashmin","2","Private room in bed and breakfast","4.41"
"TwinPeaks Luxury Apartment","4","Entire rental unit",
"Panoramic sea view apartment","4","Entire rental unit","5"
"Martin Villa Weligama","8","Entire rental unit",
"Vibrations Villa Deluxe  Double Room (1)","2","Private room in villa",
"Mille Rd cottage","2","Entire home","4.88"
"Hikka Villa","10","Entire villa","4.54"
"3 convenient rooms at Kandy","6","Private room in guesthouse","4.8"
"Secluded boutiquehotel on the river","2","Private room",
"AMMA Boutique Hotel R/8","2","Room in hotel",
"The Jungle Loft- Galle","4","Entire bungalow",
"Villa Kosgoda","2","Private room in rental unit","5"
"Ocean View Apartment - Surf Lodge Madiha","4","Entire vacation home","4.86"
"Luxe 2BR Villa wt Stunning View~Porch~Garden~Bfast","6","Entire villa",
"Lilly House - B&B villa","3","Entire guesthouse","4.92"
"Villa Upper Dickson - Room 1","10","Room in boutique hotel","4.82"
"Cheerful 3-Bedrooms (A/C)  Villa with Furniture.","6","Entire home","5"
"Surathali Suite - Breathtaking Views","2","Private room in nature lodge",
"Wilpattu Glamping with a Jeep Safari & Meals","4","Private room in tent",
"10. Villa Harbour View - Two-Bedroom Apartment","4","Entire rental unit",
"Lakeside room with shared space and kitchen","2","Entire rental unit","4.63"
"Room close to sinharaja - 20% off next booking","2","Private room in bed and breakfast",
"Nayan's Paradise Beach Deluxe room","2","Entire bungalow",
"Villa 360 Southern View Beliatta-Tangalle","8","Entire villa",
"Sigiri Star Homestay","2","Private room in guesthouse",
"Enjoy the beautiful Nature","5","Entire cabin",
"Chathu home stay","10","Private room in bed and breakfast","5"
"Beautiful Estate In Nivithigala","6","Entire home",
"Royal Retreat Kandy","15","Private room in hostel","4.8"
"Mimoza Mirissa - Double Room with Pool & Balcony","2","Private room in bed and breakfast",
"Kandy Rivers Edge Nature Resort","4","Room in boutique hotel",
"Villa de luxe Entièrement","15","Entire villa",
"King Room with Mountain View 02","2","Private room in bed and breakfast",
"Hotel Tobiko","16","Room in boutique hotel",
"Treehouse living near Sigiriya & Pidurangala Rocks","4","Treehouse","4.43"
"boking and enjoying","6","Entire home",
"Sigiriya Freedom Lodge - Private Double Room","2","Private room in nature lodge","5"
"Saffron Robes Living 004; Design Hotel by Dileepa","2","Room in hotel",
"Deluxe Twin Room @ Lion's Rest Weligama","4","Room in boutique hotel",
"VIlla Savendara by Arsulana","2","Tiny home",
"Nel Villa-04 Bedrooms Villa","8","Entire home",
"Luxury Treehouse","4","Private room in nature lodge",
"Comfortable rooms with Original antique furniture","8","Entire villa",
"A Home Away From Home, Near Mount Lavinia Beach","5","Entire home","4.75"
"Luxurious Villa near the Airport","4","Entire villa","4.97"
"Hill House Galle","4","Entire home",
"Lonach Estate Bungalow","2","Private room in bungalow",
"Barefoot luxury","2","Room in hotel",
"Victoria Hideout Luxury Double room","2","Private room in bed and breakfast",
"One Family Room- Sleeps 4 - 1 min to Beach.","4","Private room in home",
"Zodiak guest house 1","2","Room in hotel",
"BK Beach Boutique Hotel Hikkaduwa Ground floor","2","Room in hotel",
"Weligama Villa 389","2","Entire villa",
"sigiri close - up view guest","11","Entire rental unit",
"The Hikka House","3","Entire home",
"Green cabin 
(Front river back rice village)","3","Entire home",
"Deema's Villa","6","Entire villa",
"Charming & comfortable bungalow","5","Entire bungalow","4.68"
"The Gray Homes Galle Apartments","6","Entire rental unit",
"Ayurveda Villa 386-
Diamond","2","Room in hotel",
"home stay with360 digree view","10","Entire home",
"Tropical Sunsets","2","Entire rental unit",
"Chalets - Flower Garden","4","Room in nature lodge",
"Deluxe Double Room at Ella Deck Resort","4","Room in resort","4.33"
"Apartamento Paris","4","Entire rental unit",
"Welcome to Serenity and Tranquility","2","Room in boutique hotel","4.9"
"Apartamento Rome","4","Entire rental unit",
"Triple Bedroom - Galle Camellia","3","Private room in bed and breakfast",
"Luxery house rent short term","6","Entire home",
"Mercs Bungalow","6","Entire bungalow",
"Oasis Villa","6","Room in boutique hotel",
"Villa Cinnamon - 19% Discount","4","Entire guesthouse",
"Hotel Southern Blue Sapphire Family Room 1","3","Room in hotel",
"White House Villa Dallawella,Unavatuna, Galle","6","Entire villa","4.79"
"Double Room - Ashburnham Estate","2","Room in boutique hotel",
"Makahiya Fitness, Boost Room","2","Room in hotel",
"Baron Luxury Boutique","2","Room in hotel","4.56"
"Room in an Ayurvedic Resort with spa and pool","3","Private room in bed and breakfast",
"Hikkaduwa Ibson Villa -02 with Salt water Pool","8","Entire home",
"Inspira ella .Budget luxury family room","2","Room in hotel",
"Gate House on a rubber tree estate","4","Entire cottage","4.67"
"Brownies Villa","6","Entire villa","5"
"Hideaway Beach House","4","Entire rental unit","4.8"
"Royal Bath Edge","10","Entire rental unit",
"Family Room for 4 in Galle","4","Private room in bed and breakfast",
"Suite Twin Rooms + Balcony No 01","2","Entire rental unit",
"""Bhagi House"" is a perfect hideout to relax","2","Private room in villa",
"Rüstic Beach Villa, Sinnapaduwa","6","Entire villa","4.59"
"Sweet Escape Mirissa family rooms","4","Room in hotel",
"Lotus Eco Villa","4","Private room in nature lodge","5"
"Welcome to Serenity and peace...","4","Entire chalet",
"SriLankan, Continental breakfast","6","Private room in bed and breakfast",
"Stunning Beach View Villa","16","Entire villa",
"Villa 28 Ambalangoda","6","Entire rental unit","4.43"
"Neverbeen to Royal Point | Deluxe Triple Room","3","Private room in guesthouse",
"Oreeka Hotel-Katunayake Airport with swimming pool","2","Room in bed and breakfast",
"Scandinavia Hotel Privet Room A/C","2","Private room in bed and breakfast",
"Weather Deck Lodge Kandy","6","Entire home",
"Home Sweet ...Home...Robinhill Suites","5","Private room in bungalow","4.8"
"Residential Townhouse Bed Room","1","Private room in home",
"Duet Hearts","4","Private room in guesthouse",
"Ocean Suite - Ocean Crest","3","Room in hotel",
"Zodiak guest house 2","2","Room in hotel",
"Tailored space for up to 4. Pay for just 2 rooms","4","Entire rental unit",
"Colonial House - Sea , Nature, Freedom , Relax .","2","Private room in bungalow","4.5"
"Double Tropical Cabana","2","Private room in bed and breakfast",
"Family 2 bedroom apartment","4","Private room in bed and breakfast","4.64"
"Luxury Condo in Colombo 6","6","Entire rental unit",
"Zee's Garden -  Upstairs Room Farm stay, B&B","3","Private room in farm stay",
"Pedro Barn","2","Room in hotel",
"White Rose Hostel - Female Dorm rooms","4","Room in hostel",
"Cabin with joy","5","Entire cabin",
"Classy and Spacious Two Bedroom Apartment Colombo","4","Entire condo","5"
"Traum Villa Bentota - Loft - Zimmer 1","2","Private room in guesthouse",
"Luxurious Hotel In Unawatuna","16","Room in hotel",
"Full cottage and Bed tea 5 person Breakfast only","15","Entire home",
"Sea view Room + Pool & Wi Fi - Villa Samudra","2","Private room in guesthouse",
"Hotel Tobiko","6","Room in boutique hotel","4.67"
"Room 110 - Triple Room","3","Room in hotel",
"The Grand Ward place apartment for rent, Colombo7","4","Entire rental unit",
"Iddamal Bay Service Apartments","2","Private room in rental unit",
"Villa NJay, Kandy","8","Tiny home",
"The Village Paradise | Place Of Equanimity | Pool","2","Entire rental unit",
"Sereena lake JN villa","4","Entire home",
"Superior Oceanview King Room","2","Private room in guesthouse",
"Hill Villa Kandy","9","Entire home",
"Deluxe Family Room with Balcony and A/C","4","Private room in guesthouse",
"18 Faces Deluxe Double Room (Water Face 2 )","2","Room in bed and breakfast","5"
"Glengariff Villa- Entire Villa","9","Entire villa",
"3 bedrooms luxury  apartment Colombo 08","6","Entire rental unit",
"Sunbird Negombo","2","Private room in bed and breakfast",
"Friends Place - Apartment","2","Entire rental unit",
"Girilena Three Bed Rooms Suite","6","Entire home","5"
"Green Acres - Heritage Bungalow","6","Entire bungalow",
"place to stay ella","2","Entire rental unit",
"Cozy Creek View apartment at Days Inn Kandy","6","Entire rental unit","4.35"
"2 Bedroom River View Apartment Kandy","4","Entire rental unit",
"Travelodge Sigiriya","4","Private room in bed and breakfast",
"Feel home kandy 4","4","Entire rental unit","5"
"Sigiriya Chena Villa","2","Private room in bed and breakfast",
"Charming Triple Room with Pool and Free Parking","3","Room in boutique hotel","4"
"Budget private room","2","Private room in bed and breakfast",
"Colonial Residence Kandy Apartment","5","Entire rental unit",
"Beachfront pool resort","2","Private room in bed and breakfast",
"THe DEN","2","Private room in home",
"Tea Garden Villa for cheapest rates","2","Entire vacation home",
"Monach Beach Villa","6","Entire villa","4.17"
"The Kandy Blue Luxury Guesthouse","16","Entire guesthouse",
"Ocean Queen Hotel","2","Room in hotel",
"Nature House - Deluxe Rooms","8","Room in hotel",
"Suriya Arana - Superior Deluxe Room - 05","2","Private room in bed and breakfast",
"Double Room & Dedicated Bathroom","2","Private room in guesthouse",
"Hiriketiya Collection Two Bedroom Cottage","4","Entire cottage",
"Monkey Camp - Hanuman Bungalow - Imelda","4","Private room",
"Rebeka’s Place","2","Private room in home",
"calm and cool life","1","Private room in guesthouse",
"Luxury Haven: Serene Getaway","6","Entire home",
"Villa Aroshina 1","2","Private room in bed and breakfast","5"
"Beach House in Trincomalee","16","Entire villa","4.45"
"Shamrok Luminouse House","6","Entire home",
"hotel vibrant","16","Room in hotel",
"Simply heaven - suriyakanda","4","Room in hotel",
"Humbhaha jungle hostel","6","Shared room in nature lodge","4.83"
"Aurora Midigama","2","Private room in home",
"The European Gate Anuradhapura ..Sri Lanka","10","Entire home",
"The Paramount Lodge-Polonnaruwa","2","Private room in guesthouse",
"Spacious 4 Bedroom House","7","Private room in home",
"Mountain View Hostel Bed 1","1","Shared room in hostel",
"""Bhagi House"" is a perfect hideout to relax","2","Private room in villa",
"Twinkle Tangalle Villa","2","Entire home",
"Close to nature & peaceful WILD landscape.","4","Tiny home",
"Julianu Villas","4","Private room in serviced apartment",
"Aspirations Holiday Villas","9","Entire home",
"Mahavidana Walauwa, Weligama","7","Entire home","5"
"Antic beach grow villa with pool","3","Entire home",
"Freedom River House (Family Room 2 Bed)","4","Private room in home",
"Dumi house room 2","2","Private room in rental unit","4.35"
"Hostal for kitesurfers","3","Shared room in guesthouse",
"Kandy Cabana Royal Cabana","4","Entire cabin",
"Central Penthouse with a View","4","Private room in condo","4.73"
"Swiss Lanka Bed & Breakfast","4","Entire bed and breakfast","4.81"
"The Railway Lodge Hostel - 4 bed","4","Private room in guesthouse",
"Bentota Holiday Villa","6","Entire villa",
"2 AC Double rooms (4heads) SuperHost 500m UNABeach","4","Room in hotel","5"
"Lakegala Resort - a true experience in nature","15","Private room in nature lodge",
"Budget Family Room For 4 Pax Unawatuna with Pool","4","Private room in villa",
"Chambre N2 
La Villa Soleil","4","Private room in guesthouse",
"Purple Room","2","Room in hotel",
"Tea cabin by Hoyts","4","Entire cabin",
"Orchid Apartment II, Malabe, Colombo","6","Entire rental unit","4.67"
"Azy's Inn","6","Entire home",
"Superior Family Room with Balcony","3","Private room in bungalow",
"Golden Beach Superior Chalet Beachfront","3","Private room in bed and breakfast",
"Tropical Oasis~10min walk2 beach","6","Private room in home",
"Bodi's Loft 101 - Colombo","2","Private room in guest suite",
"Direct Sea View | Top View Condo","6","Entire rental unit",
"Capital TRUST Residencies Col 05","6","Entire rental unit",
"The Steuart - Std Room (No Windows) with B'fast","3","Room in hotel","4"
"SkyCasa Holiday Apartments - One Bedroom Apartment","2","Entire serviced apartment","3.33"
"VV - Double deluxe 2","2","Private room in guesthouse","5"
"2- bedroom villa in kandy - Summer nest","4","Private room in villa",
"Villa ZEN-RED: Moon Suite","2","Private room in villa",
"Bethel Rest Homestay / Family","5","Private room in home",
"House for rent in KANDY","4","Entire home",
"Ocean Breeze Apartment","4","Entire rental unit",
"Mala's Garden-Single Room","1","Private room in home",
"Good Quality & Clean 4 AC BR Villa","8","Entire home",
"Perfect OASIS to Relax","7","Room in bed and breakfast",
"Galle Apartment In Sri lanka","6","Entire rental unit",
"Life Ayurveda Resort","2","Private room in home",
"River Place Gästehaus - Zimmer 1","2","Private room in bed and breakfast",
"Madiha - Ocean view room - casa tharin","2","Private room in bed and breakfast",
"Capital TRUST Residencies Colombo 04","6","Entire condo",
"Araliya Deluxe","2","Room in hotel",
"2 Bedroom Apartment nearby Madiha Beach","5","Entire rental unit",
"Mass Eco Cabanas, Cabana 1","2","Entire home",
"Come and enjoy the our place","4","Entire rental unit",
"Crescat Residencies | Central City Condo","4","Entire condo","4"
"Neverbeen to Daban Homestay with Mountain View BB","2","Private room in villa","4"
"VILLA Piscine proche plage","10","Entire villa","3.2"
"Cabine bois plage vacances","2","Entire cabin",
"Sath  villa hotel","16","Room in boutique hotel",
"Ratna Villa","4","Entire villa",
"Monkey Camp - Hanuman Bungalow - 'Hegal'","5","Private room",
"Horizon Hilltop Villa Unawatuna GS2","2","Private room in villa","4.8"
"Cosy, Comfortable and Clean","6","Entire home",
"Villa Eco Green Airport","6","Entire home",
"Kotomba Hermitage II, a double Penthouse in Zion","6","Entire cottage",
"Capital TRUST Residencies Col 05","6","Entire rental unit",
"Windsor Apartment - 4 bedroom in Colombo 07","8","Entire condo","4"
"Twin room with pool view, Terrace Garden Weligama","2","Private room in bed and breakfast",
"West Dene - Deluxe Double Room - Ground Floor","2","Room in boutique hotel",
"ALAKAMANDAVA","6","Entire guest suite",
"Cactus Boralesgamuwa","6","Entire condo",
"Bohemian Suite in MOI Talpe","2","Room in hotel",
"Green Wood Bungalow","12","Room in boutique hotel",
"Luxury old colonial house in peaceful location.","8","Entire bungalow",
"Hiru Resort Family Suite","4","Room in boutique hotel",
"Double room with balcony, Terrace Garden Weligama","1","Private room in bed and breakfast",
"Dahlia Residence Family Villa","3","Private room in bed and breakfast",
"Kaloogala Scenic Bungalow Quadruple Room","4","Private room in bed and breakfast",
"Deluxe Triple/Family Room","3","Room in hotel",
"Seagreen Guesthouse","2","Private room in bed and breakfast","5"
""" Tree House Rangala ""","4","Treehouse",
"Cottage at Hideaway Trails, Ella","5","Entire cottage",
"The Gallery 902: Cosy 3BR Apartment in Galle","6","Entire rental unit",
"MA` Holidays-Villa Induruwa, Bentota. Entire Villa","10","Entire bungalow",
"CO45 artist in residence (2BD) at Horton Place","6","Private room in home",
"Kirinda Walauwa, Kandy, kingsize bed","2","Private room in bungalow",
"Standard Family Room with Mountain View","4","Private room in cottage",
"Riverbank Resort River and Mountain view Cabana","4","Private room in bed and breakfast",
"Luxury fully furnished house","8","Entire home",
"VIVAS Residencies 2  Room Luxury  Apartment","4","Entire condo",
"Kirinda Walauwa, twin beds","2","Private room in home",
"Sandya's Home","9","Entire home",
"Neverbeen to Donkeys Home | Private Room with BB","3","Private room in farm stay","4.5"
"Villa in Laxapana, Hatton, Sri Lanka","10","Entire bungalow","4.42"
"Beach Front | Sea Breeze Condo","5","Entire serviced apartment",
"The Kandyan Manor - Pink Room","5","Private room in home","4.38"
"Bellissimo Kandy- Tourist board registered bunglow","10","Entire bungalow",
"Heights Retreat - Galle  Room 1","2","Private room in home",
"The Amora","5","Room in hotel",
"Athulya Villas","2","Private room in villa","4.2"
"The Steuart - Premium Room with B'fast","2","Private room in bed and breakfast",
"Capital TRUST Residencies Col 05","6","Entire rental unit",
"Shangri-La Bungalow Home-stay","10","Entire bungalow",
"Capital TRUST Residencies Col 05","6","Entire rental unit",
"Olu beach villa","4","Entire villa",
"Villa Tropicana","7","Private room in nature lodge","4.88"
"Zimmer mit 6 Betten","6","Private room in hostel",
"Miridiya Lake Deluxe Double Room with Balcony","2","Room in hotel",
"Deluxe Triple/Family with Room Only","3","Room in hotel",
"Entire apartment at City Center","6","Entire rental unit",
"Forest Edge Kanneliya","16","Room in boutique hotel",
"Villa Mindini Full Villa - Hikkaduwa","10","Entire villa",
"Nethu Villa","16","Entire home",
"Caca's Cozy Crib-Ensuite 1","2","Private room in rental unit",
"Kandy Hill Villa","8","Private room in villa","4.2"
"Family Apartment in Colombo","6","Entire rental unit",
"Capital TRUST Residencies Col 05","6","Entire rental unit",
"Bellwood Hills Resort & Spa Kandy","16","Room in hotel",
"Family Room-Nature View Sigiriya | Rock Side Hotel","5","Room in hotel",
"Capital TRUST Residencies Col 05","6","Entire rental unit",
"Hotel Sunflower  - Amazing Boutique Hotel","4","Room in hotel",
"4 rooms (8heads) in Nooit Gedacht Holiday Resort","8","Room in hotel",
"Gorgeous 2 Bedroom Apartment","5","Entire rental unit",
"JHR ECO CHALET- BED & BREAKFAST","16","Private room in chalet",
"Hideaway camping Ella","10","Tent",
"Resort Like No Other, airport hotel family room","6","Private room in nature lodge","3.75"
"Sea View Villa","10","Entire villa",
"Budget stays @ OFC Nilaveli","4","Entire rental unit",
