"name","numberOfGuests","roomType","stars"
"Quadraple Room with Shared bathroom","4","Private room in rental unit",
"Sarra's Villa (2)","2","Private room in villa",
"Engel Apartment jaffna","10","Entire home",
"""Mathura"" Home / Three rooms for rental in Jaffna","6","Entire home","4"
"Rajeevan Garden Guest House (Upstairs)","10","Entire home",
"Vishal Villa","10","Entire villa","4.75"
"Peaceful fully airconditioned room in Nallur","2","Private room in vacation home",
"Berty's Cottage Double Room","2","Private room in bed and breakfast",
"Neverbeen to Sarras Gatetrees | Deluxe Room1","2","Private room in villa","4.25"
"Sunflowers Canada House, Ottawa Room","2","Private room in home",
"Crossette Villa","11","Entire home","4.23"
"Luxury House in Nallur","4","Entire home",
"Deluxe Room with Bed & Breakfast","3","Room in hotel",
"we are family base hotel jaffna.","16","Room in hotel",
"Sunflowers Canada House, Vancouver Room","3","Private room in home","4.82"
"The Premier Villa - Private Room 4","2","Private room in villa",
"Rajeevan Garden Guest House","10","Entire home","4.75"
"Cottage Thamor 1 Bedroom unit","4","Private room in home",
"The Premier Villa -Private Room 2","3","Private room in villa",
"Neverbeen to Nallur Residence | Double Room BB","2","Private room in villa",
"ENGEL Villa Jaffna","10","Private room in villa","4.5"
"Brinthavanam days inn  (Vege break fast free)","2","Private room in guesthouse","4.6"
"Villa de luxe avec piscine","10","Entire home",
"Appartement de luxe avec piscine","6","Entire rental unit",
"Villa in Jaffna, Ariyalai","6","Entire home","4.8"
"Short break Luxury Flats","4","Entire rental unit",
"Sunflowers Canada House, Toronto Room","3","Private room in home","4.67"
"Villa in Kalviyankadu","6","Entire home",
"Whiterock Villa","8","Private room in home",
"Kokuvil Villa","14","Entire home",
"NEW VILLA - 2 Floor | A/C - and non A\CPoint Pedro","10","Entire home",
"Beautifully presented holiday home in Jaffna","6","Entire home",
"Sunflowers Canada House, Edmonton Room","2","Private room in home","5"
"Luxurious Villa in Jaffna","5","Entire home",
"Matheera Holiday Home","12","Entire guesthouse",
"Berty's Cottage Single Room","1","Private room in bed and breakfast",
"Hajiz Palace","12","Entire home","4.67"
"Abi Villas in central Jaffna","6","Entire home","4.67"
"Luxury flats for a short break","4","Entire rental unit",
"SATK INN - Double Room","2","Room in hotel",
"The Premier Villa","12","Entire villa","4.96"
"Luxury A/C & Non A/C Room HOTEL","16","Entire bed and breakfast","3.6"
"Calming atmosphere in a Sri Lankan village","4","Private room in bungalow",
